model,attack,density,comparison,metric,n_images,mean_a,mean_b,mean_difference,ci_95_low,ci_95_high,ci_excludes_zero,bootstrap_samples,bootstrap_seed
3k_baseline,mean,0.1,O150 -> O300,psnr_attack,300,14.341539758046467,14.293955704371134,-0.04758405367533366,-0.057182557980219526,-0.03863134415944417,True,10000,42
3k_baseline,mean,0.1,O150 -> O300,ssim_attack,300,0.43133377398053807,0.43879178861776985,0.007458014637231827,0.006263221491128206,0.008754593112816412,True,10000,42
3k_baseline,mean,0.1,O150 -> O300,psnr_final,300,14.29982426961263,14.252025054295858,-0.04779921531677246,-0.05742772277196249,-0.038808333873748775,True,10000,42
3k_baseline,mean,0.1,O150 -> O300,ssim_final,300,0.4381636659304301,0.44531041373809177,0.007146747807661692,0.005920589033514261,0.00847749958684047,True,10000,42
3k_baseline,mean,0.3,Random -> O150,ber,300,0.4816666666666667,0.46,-0.021666666666666667,-0.031222222222222217,-0.012222222222222228,True,10000,42
3k_baseline,mean,0.3,Random -> O150,psnr_attack,300,15.732017828623453,15.699965127309163,-0.03205270131429037,-0.11185202089945476,0.04741426118214921,False,10000,42
3k_baseline,mean,0.3,Random -> O150,ssim_attack,300,0.3353956281393766,0.48187816873192785,0.14648254059255122,0.13763642976805568,0.1552704347701122,True,10000,42
3k_baseline,mean,0.3,Random -> O150,psnr_final,300,15.682996199925741,15.643248850504557,-0.03974734942118327,-0.11896147640546163,0.03986927080154416,False,10000,42
3k_baseline,mean,0.3,Random -> O150,ssim_final,300,0.32805714157720406,0.48280006711681683,0.15474292553961277,0.14580401112760105,0.1635390909401079,True,10000,42
3k_baseline,mean,0.3,Random -> O300,ber,300,0.4816666666666667,0.45622222222222225,-0.025444444444444443,-0.034999999999999976,-0.016000000000000004,True,10000,42
3k_baseline,mean,0.3,Random -> O300,psnr_attack,300,15.732017828623453,15.684110809961954,-0.047907018661499025,-0.1295807084242503,0.03309597214063008,False,10000,42
3k_baseline,mean,0.3,Random -> O300,ssim_attack,300,0.3353956281393766,0.48753563260038696,0.1521400044610103,0.14299359926022587,0.16126229070996245,True,10000,42
3k_baseline,mean,0.3,Random -> O300,psnr_final,300,15.682996199925741,15.627219683329264,-0.055776516596476235,-0.13694669167200724,0.025146113793055196,False,10000,42
3k_baseline,mean,0.3,Random -> O300,ssim_final,300,0.32805714157720406,0.48853108763694764,0.16047394605974355,0.15122288393912214,0.1695725355402877,True,10000,42
3k_baseline,mean,0.3,O150 -> O300,ber,300,0.46,0.45622222222222225,-0.003777777777777777,-0.009000000000000001,0.001555555555555557,False,10000,42
3k_baseline,mean,0.3,O150 -> O300,psnr_attack,300,15.699965127309163,15.684110809961954,-0.015854317347208657,-0.019491700172424315,-0.012487340927124023,True,10000,42
3k_baseline,mean,0.3,O150 -> O300,ssim_attack,300,0.48187816873192785,0.48753563260038696,0.005657463868459066,0.004598513619353374,0.006828964366267124,True,10000,42
3k_baseline,mean,0.3,O150 -> O300,psnr_final,300,15.643248850504557,15.627219683329264,-0.016029167175292968,-0.019635406255722045,-0.012680556694666546,True,10000,42
3k_baseline,mean,0.3,O150 -> O300,ssim_final,300,0.48280006711681683,0.48853108763694764,0.005731020520130793,0.004635095043728749,0.00694661163414518,True,10000,42
