model,attack,removal_ratio,actual_removal_ratio,PSNR_final,SSIM_final,PSNR_attack,SSIM_attack,BER,num_images
Frozen UNet,navier,0.5,0.4997955322265625,19.86039043744405,0.6690629849831263,20.03686442057292,0.7049774330854416,0.04266666666666659,300
Frozen UNet,navier,0.6,0.5997798665364583,18.52179397583008,0.6094272936383883,18.63161641438802,0.6389691260457039,0.049111111111111015,300
Frozen UNet,navier,0.7000000000000001,0.6998195393880209,17.291237548192342,0.5461948701739311,17.364210233688354,0.5686927963296572,0.062444444444444414,300
Frozen UNet,navier,0.8,0.7998024495442708,16.089957869847616,0.47865368172526357,16.129947074254353,0.49402639562884965,0.10100000000000015,300
Frozen UNet,navier,0.9,0.8998551432291667,15.02218921661377,0.4126690135896206,15.042128330866495,0.41848066831628483,0.22711111111111112,300
Frozen UNet,shiftmap,0.1,0.09978108723958333,25.28540636698405,0.8645212455590566,26.414248304367064,0.9242036906878154,0.023444444444444427,300
Frozen UNet,shiftmap,0.2,0.1997991943359375,21.7892982673645,0.7908796608448029,22.22736920038859,0.8439750212430954,0.0242222222222222,300
Frozen UNet,shiftmap,0.30000000000000004,0.2998077392578125,19.473166058858236,0.7145470535755157,19.709551696777343,0.7607089386383692,0.026111111111111085,300
Frozen UNet,shiftmap,0.4,0.39980712890625,17.68754400253296,0.635994668006897,17.80625936190287,0.6757958134015402,0.028333333333333304,300
Frozen UNet,shiftmap,0.5,0.4997955322265625,16.172983830769855,0.5512955750028292,16.24686663945516,0.5849296777447065,0.031555555555555524,300
Frozen UNet,shiftmap,0.6,0.5997798665364583,14.79473200639089,0.46552301694949466,14.840940306981405,0.4925979641079903,0.037666666666666605,300
Frozen UNet,shiftmap,0.7000000000000001,0.6998195393880209,13.753674917221069,0.3781013157963753,13.777881600062052,0.3989371757706006,0.04311111111111104,300
Frozen UNet,shiftmap,0.8,0.7998024495442708,12.600308329264323,0.27180285116036734,12.603591752052306,0.28589063182473184,0.06488888888888887,300
Frozen UNet,shiftmap,0.9,0.8998551432291667,10.623810585339864,0.12184457165499528,10.606362764040629,0.127933879767855,0.23166666666666666,300
Frozen UNet,telea,0.1,0.09978108723958333,27.27738037109375,0.8840648176272711,28.903859825134276,0.9446307647228241,0.028999999999999974,300
Frozen UNet,telea,0.2,0.1997991943359375,24.400465936660765,0.8328532856702805,25.161452344258628,0.8872543780008951,0.02966666666666664,300
Frozen UNet,telea,0.30000000000000004,0.2998077392578125,22.72880564689636,0.7833466158310572,23.179248142242432,0.8313561338186264,0.03233333333333329,300
Frozen UNet,telea,0.4,0.39980712890625,21.125534858703613,0.7284701307614644,21.39981430689494,0.7701589236656825,0.03755555555555549,300
Frozen UNet,telea,0.5,0.4997955322265625,19.922122761408488,0.6716215417782465,20.104946626027424,0.7070945692062378,0.04622222222222214,300
